番号,計測年,計測月,性別,上半身着衣,下半身着衣,足部着衣,年齢,身長（文部省式）,身長（アントロポメータ）,体重,肩峰高,橈骨点高,橈骨茎突点高,腸骨稜上縁高,股下高,転子高,脛骨上縁高,内果端高,首の幅,肩峰幅,乳頭位横径,腸骨稜幅,"乳頭位
矢状径",腹部厚径,臀溝厚径（大腿厚径）,頭幅,頭長,足長,踵の幅,足背高（楔状骨点高）,ボール高,"足第１指
爪基部高","足第１指
爪基部長さ",手長,第２指長,指尖・指節点距離,茎状突起間幅,手幅,手首の厚さ,手厚,第１指爪基部厚,第１指爪基部幅,第１指爪基部長さ,第２指爪基部厚,第２指爪基部幅,第２指爪基部長さ,第３指爪基部厚,第３指爪基部幅,第３指爪基部長さ,第５指爪基部厚,第５指爪基部幅,第５指爪基部長さ,握力（右手）,握力（左手）,"握力計
種類",特記事項
72,2005年,11月,男の子,（不明）,（不明）,（不明）,6.22,,1141,17.8,870,,,659,,,,,76,257,186,174,126,154,104,138,164,182,28,46,29,,,123,45,67,40,,32,21,10,14,9,8,11,9,8,10,10,8,9,9
73,2005年,11月,女の子,（不明）,（不明）,（不明）,5.83,,1125,18,876,,,664,,,,,71,255,196,178,129,135,115,137,172,174,27,44,25,,,122,46,66,38,,28,18,9,12,10,8,11,8,9,11,8,7,8,7
74,2005年,11月,女の子,（不明）,（不明）,（不明）,6.41,,1112,16,851,,,656,,,,,80,261,191,175,121,147,114,141,163,174,26,43,26,,,129,49,71,40,,28,21,9,13,9,8,11,8,9,11,9,8,9,7
75,2005年,11月,女の子,（不明）,（不明）,（不明）,6.12,,1257,26.5,978,,,751,,,,,82,283,211,206,140,185,133,139,170,195,31,47,27,,,144,56,76,45,,34,21,10,15,11,9,12,9,9,12,10,8,10,9
76,2005年,11月,女の子,（不明）,（不明）,（不明）,5.87,,1131,17,866,,,639,,,,,80,254,186,176,111,141,109,137,171,176,26,39,26,,,122,46,62,42,,29,18,11,14,8,9,12,8,9,12,9,8,10,6
77,2005年,11月,女の子,（不明）,（不明）,（不明）,5.91,,1069,16,833,,,628,,,,,71,238,184,175,131,139,111,142,162,166,26,41,25,,,114,43,61,39,,30,20,10,13,8,9,10,5,9,11,8,7,9,7
78,2005年,11月,女の子,（不明）,（不明）,（不明）,6.16,,1112,17.2,862,,,656,,,,,70,242,174,170,133,149,116,133,164,179,26,42,26,,,126,48,64,40,,31,19,10,14,8,8,10,7,8,10,6,8,8,5
79,2005年,11月,女の子,（不明）,（不明）,（不明）,5.64,,1102,17.1,843,,,633,,,,,78,240,185,176,133,148,111,143,161,175,29,45,25,,,123,52,69,42,,31,19,10,14,10,8,11,9,8,11,9,8,9,9
80,2005年,11月,女の子,（不明）,（不明）,（不明）,0.83,,697,9.7,,,,,,,,,65,190,151,131,129,121,70,128,145,105,24,34,20,,,83,31,45,34,,29,13,8,11,8,8,8,5,7,9,5,7,7,7
81,2005年,11月,女の子,（不明）,（不明）,（不明）,0.84,,693,7.58,,,,,,,,,61,166,164,121,110,135,76,128,148,109,28,32,21,,,87,33,45,35,,23,13,8,10,,7,8,,8,8,,7,8,
82,2005年,11月,女の子,（不明）,（不明）,（不明）,1.37,,745,9.14,,,,,,,,,65,170,142,135,99,118,69,132,,120,20,32,20,,,,,46,,,,,,,,,,,,,,,,
